trade_id,direction,entry_time,entry_price,exit_time,exit_price,size,pnl,fee,net_pnl,capital_after,note
82,LONG,2025-12-01 18:47:00,84921.75,2025-12-01 19:05:00,85039.9,0.1,11.814999999999419,0.0,11.814999999999419,10250.910999999987,
83,SHORT,2025-12-01 19:05:00,85039.9,2025-12-01 19:11:00,85054.36,0.1,-1.4460000000006403,0.0,-1.4460000000006403,10249.464999999987,
84,LONG,2025-12-01 19:11:00,85054.36,2025-12-01 19:19:00,84890.01,0.1,-16.43500000000058,0.0,-16.43500000000058,10233.029999999986,
85,SHORT,2025-12-01 19:19:00,84890.01,2025-12-01 19:24:00,84990.0,0.1,-9.999000000000525,0.0,-9.999000000000525,10223.030999999986,
86,LONG,2025-12-01 19:24:00,84990.0,2025-12-01 19:26:00,84775.44,0.1,-21.45599999999977,0.0,-21.45599999999977,10201.574999999986,
87,SHORT,2025-12-01 19:26:00,84775.44,2025-12-01 19:35:00,84854.33,0.1,-7.8889999999999425,0.0,-7.8889999999999425,10193.685999999987,
88,LONG,2025-12-01 19:35:00,84854.33,2025-12-01 19:43:00,84749.03,0.1,-10.530000000000292,0.0,-10.530000000000292,10183.155999999986,
89,SHORT,2025-12-01 19:43:00,84749.03,2025-12-01 19:49:00,84888.76,0.1,-13.972999999999594,0.0,-13.972999999999594,10169.182999999986,
90,LONG,2025-12-01 19:49:00,84888.76,2025-12-01 20:13:00,85561.72,0.1,67.29600000000065,0.0,67.29600000000065,10236.478999999987,
91,SHORT,2025-12-01 20:13:00,85561.72,2025-12-01 20:38:00,85400.0,0.1,16.172000000000118,0.0,16.172000000000118,10252.650999999987,
92,LONG,2025-12-01 20:38:00,85400.0,2025-12-01 20:52:00,85359.0,0.1,-4.1000000000000005,0.0,-4.1000000000000005,10248.550999999987,
93,SHORT,2025-12-01 20:52:00,85359.0,2025-12-01 20:57:00,85545.85,0.1,-18.68500000000058,0.0,-18.68500000000058,10229.865999999985,
94,LONG,2025-12-01 20:57:00,85545.85,2025-12-01 21:12:00,85732.0,0.1,18.61499999999942,0.0,18.61499999999942,10248.480999999985,
95,SHORT,2025-12-01 21:12:00,85732.0,2025-12-01 21:18:00,85893.99,0.1,-16.199000000000524,0.0,-16.199000000000524,10232.281999999985,
96,LONG,2025-12-01 21:18:00,85893.99,2025-12-01 21:37:00,86283.3,0.1,38.93099999999977,0.0,38.93099999999977,10271.212999999985,
97,SHORT,2025-12-01 21:37:00,86283.3,2025-12-01 21:52:00,86474.94,0.1,-19.16399999999994,0.0,-19.16399999999994,10252.048999999985,
98,LONG,2025-12-01 21:52:00,86474.94,2025-12-01 22:11:00,86615.64,0.1,14.069999999999709,0.0,14.069999999999709,10266.118999999984,
99,SHORT,2025-12-01 22:11:00,86615.64,2025-12-01 22:27:00,86516.0,0.1,9.963999999999942,0.0,9.963999999999942,10276.082999999984,
100,LONG,2025-12-01 22:27:00,86516.0,2025-12-01 22:33:00,86413.39,0.1,-10.26100000000006,0.0,-10.26100000000006,10265.821999999984,
101,SHORT,2025-12-01 22:33:00,86413.39,2025-12-01 22:38:00,86528.95,0.1,-11.555999999999768,0.0,-11.555999999999768,10254.265999999983,
102,LONG,2025-12-01 22:38:00,86528.95,2025-12-01 22:53:00,86734.36,0.1,20.541000000000352,0.0,20.541000000000352,10274.806999999984,
103,SHORT,2025-12-01 22:53:00,86734.36,2025-12-01 23:01:00,86736.01,0.1,-0.16499999999941795,0.0,-0.16499999999941795,10274.641999999985,
104,LONG,2025-12-01 23:01:00,86736.01,2025-12-01 23:06:00,86622.01,0.1,-11.4,0.0,-11.4,10263.241999999986,
