trade_id,direction,entry_time,entry_price,exit_time,exit_price,size,pnl,fee,net_pnl,capital_after,note
137,SHORT,2025-12-01 20:13:00,85561.72,2025-12-01 20:20:00,85516.24,0.1,4.547999999999592,0.0,4.547999999999592,10197.056999999983,
138,LONG,2025-12-01 20:20:00,85516.24,2025-12-01 20:23:00,85426.91,0.1,-8.933000000000176,0.0,-8.933000000000176,10188.123999999982,
139,SHORT,2025-12-01 20:23:00,85426.91,2025-12-01 20:38:00,85400.0,0.1,2.6910000000003493,0.0,2.6910000000003493,10190.814999999982,
140,LONG,2025-12-01 20:38:00,85400.0,2025-12-01 20:52:00,85359.0,0.1,-4.1000000000000005,0.0,-4.1000000000000005,10186.714999999982,
141,SHORT,2025-12-01 20:52:00,85359.0,2025-12-01 20:57:00,85545.85,0.1,-18.68500000000058,0.0,-18.68500000000058,10168.02999999998,
142,LONG,2025-12-01 20:57:00,85545.85,2025-12-01 21:12:00,85732.0,0.1,18.61499999999942,0.0,18.61499999999942,10186.64499999998,
143,SHORT,2025-12-01 21:12:00,85732.0,2025-12-01 21:17:00,85816.34,0.1,-8.433999999999651,0.0,-8.433999999999651,10178.210999999981,
144,LONG,2025-12-01 21:17:00,85816.34,2025-12-01 21:37:00,86283.3,0.1,46.696000000000645,0.0,46.696000000000645,10224.906999999981,
145,SHORT,2025-12-01 21:37:00,86283.3,2025-12-01 21:52:00,86474.94,0.1,-19.16399999999994,0.0,-19.16399999999994,10205.74299999998,
146,LONG,2025-12-01 21:52:00,86474.94,2025-12-01 22:11:00,86615.64,0.1,14.069999999999709,0.0,14.069999999999709,10219.81299999998,
147,SHORT,2025-12-01 22:11:00,86615.64,2025-12-01 22:27:00,86516.0,0.1,9.963999999999942,0.0,9.963999999999942,10229.77699999998,
148,LONG,2025-12-01 22:27:00,86516.0,2025-12-01 22:33:00,86413.39,0.1,-10.26100000000006,0.0,-10.26100000000006,10219.51599999998,
149,SHORT,2025-12-01 22:33:00,86413.39,2025-12-01 22:38:00,86528.95,0.1,-11.555999999999768,0.0,-11.555999999999768,10207.95999999998,
150,LONG,2025-12-01 22:38:00,86528.95,2025-12-01 22:53:00,86734.36,0.1,20.541000000000352,0.0,20.541000000000352,10228.50099999998,
151,SHORT,2025-12-01 22:53:00,86734.36,2025-12-01 23:01:00,86736.01,0.1,-0.16499999999941795,0.0,-0.16499999999941795,10228.335999999981,
152,LONG,2025-12-01 23:01:00,86736.01,2025-12-01 23:06:00,86622.01,0.1,-11.4,0.0,-11.4,10216.935999999982,
153,SHORT,2025-12-01 23:06:00,86622.01,2025-12-01 23:17:00,86550.1,0.1,7.190999999998894,0.0,7.190999999998894,10224.12699999998,
154,LONG,2025-12-01 23:17:00,86550.1,2025-12-01 23:34:00,86623.31,0.1,7.320999999999185,0.0,7.320999999999185,10231.44799999998,
